imdbID,original title,genres,countries,country codes,box office,certificates,rating,votes,plot outline,year,kind,full-size cover url
0000013,Le débarquement du congrès de photographie à Lyon,"Documentary,Short",France,fr,N/A,N/A,5.7,1867,Members of the French Photographic Society arrive from a riverboat to their congress venue in Neuville-sur-Saône on a summer day. They go ashore across a wooden landing stage. Among the many men in straw hats are also a few women in long skirts. Some of the men lift their hats toward the photographer when passing. Many of them are carrying their own cameras.,1895,movie,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000025,The Oxford and Cambridge University Boat Race,"Short,News,Sport",United Kingdom,gb,N/A,N/A,3.8,46,"Although the content of this film is primitive in the extreme - a shot of the traditional Oxford versus Cambridge University Boat Race, filmed on March 30 1895 - this film is of immense historical importance as being the first ever British film",1896,movie,https://m.media-amazon.com/images/M/MV5BOGFiZjVkYmYtYjkwZC00NWY0LWI0MGItYWYyNzNlMDNlN2Y2XkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000026,Partie d'écarté,"Documentary,Short",France,fr,N/A,N/A,5.6,1524,"Three men sit around a table at a terrace outside a bistro. Two of them are playing cards, while the third calls the waiter by knocking at the table. The waiter arrives, receives the order, and is swiftly back, carrying a tray with a bottle of wine and three glasses. While the third man fills the glasses with wine, the waiter follows the card game with great interest, applauding and laughing loudly. The three men raise their glasses and toast. The two card players put more money on the table and continue their game.",1896,movie,https://m.media-amazon.com/images/M/MV5BNGI0OTA4ODItMTE2My00OTNkLTk2MjYtZTcwZjRkOWVmMWU5XkEyXkFqcGdeQXVyNDE5MTU2MDE@.jpg
0000032,Die Serpentintänzerin,Short,Germany,de,N/A,N/A,5.0,415,N/A,1895,movie,https://m.media-amazon.com/images/M/MV5BYzEzMGUyNjQtNTRjZC00OGY1LThmMTYtM2UwM2Q0ZWM3NzE2XkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000030,Rough Sea at Dover,"Documentary,Short",United Kingdom,gb,N/A,N/A,5.2,840,"The surf pounds against a breakwater on which are visible several people standing. The wall looks to be about 20 feet above sea level and extend at least 100 feet into the water. A large wave rolls picturesquely along the wall toward the shore. Smaller waves follow. Then the scene changes to river water flowing. We see both shores: in the foreground a log and tree branch are visible; on the far shore, there appears to be a low wall with trees beyond it. The camera is stationary in both shots.",1895,short,https://m.media-amazon.com/images/M/MV5BOWFhNTM4MmYtMTBjZi00MWMyLWEyMjYtNjAwODcyM2U2NzM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@.jpg
0000033,La voltige,"Documentary,Short,Comedy",France,fr,N/A,N/A,5.5,1025,"In the background is a house. In the foreground, a groom holds the reins of a sleek black horse that stands in profile. A tall man, dressed in a black uniform, demonstrates how to mount the horse then encourages and tries to assist a man in white. The man in white keeps falling, and soon it's apparent that he's an putting on a show. His pratfalls become more elaborate and stylish. The horse stands patient. The little groom laughs to see such sport. And finally, the man in white finds a comic accommodation. The story, though brief, has a beginning, middle, and end.",1895,movie,https://m.media-amazon.com/images/M/MV5BYTc0OTQ4NzgtZDE3Mi00M2IzLWE0MjMtMjg0MTM1NzU1OGY1XkEyXkFqcGdeQXVyODgzNDIwODA@.jpg
0000034,Arrivée d'un train gare de Vincennes,"Documentary,Short",France,fr,N/A,N/A,5.0,203,N/A,1896,movie,https://m.media-amazon.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@.jpg
0000029,Repas de bébé,"Documentary,Short",France,fr,N/A,N/A,5.9,3325,"A baby is seated at a table between its cheerful parents, Auguste and Marguerite Lumière. While the father is feeding the baby with a spoon, the mother is pouring coffee into her cup. The father gives the baby a biscuit, which the baby grabs, but doesn't eat, although both parents encourage it. The father resumes feeding the baby with the spoon.",1895,movie,https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@.jpg
0000028,La pêche aux poissons rouges,"Documentary,Short",France,fr,N/A,N/A,5.1,1068,"A man holds a child of about 10 or 11 months so the child can stand on a table and look down into a large clear goldfish bowl, nearly full of water, with two goldfish swimming in it. The child, dressed in a white gown with a white cap, makes an occasional grab for a fish. The fish evade the child.",1895,movie,https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
0000036,Awakening of Rip,"Drama,Short",United States,us,N/A,N/A,4.4,602,N/A,1896,short,https://m.media-amazon.com/images/M/MV5BZWM1OGIxYzYtMzI1ZC00NDZmLWEzNmMtOTc2Y2JjNTQ0NDAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@.jpg
